Date,ATM_ID,Event_Type,Event_Detail,Amount,Status,Response_Time(mins)
01-01-2023,ATM_1,Transaction,Routine Maintenance,,Completed,10
01-01-2023,ATM_1,Maintenance,Successful Transaction,,Completed,48
01-01-2023,ATM_1,Error,Successful Transaction,,Failed,38
01-01-2023,ATM_1,Cash Replenishment,Dispensing Error,,Pending,13
01-01-2023,ATM_2,Cash Replenishment,Cash Loaded,,Failed,26
01-01-2023,ATM_3,Maintenance,Card Reader Error,,Failed,25
01-01-2023,ATM_3,Transaction,Cash Loaded,,Completed,53
01-01-2023,ATM_3,Maintenance,Routine Maintenance,,Completed,56
01-01-2023,ATM_4,Cash Replenishment,Successful Transaction,,Completed,26
01-01-2023,ATM_4,Maintenance,Successful Transaction,,Failed,48
01-01-2023,ATM_4,Error,Successful Transaction,4724.157113,Pending,22
01-01-2023,ATM_4,Cash Replenishment,Dispensing Error,576.014932,Completed,26
01-01-2023,ATM_4,Error,Cash Loaded,,Failed,5
01-01-2023,ATM_5,Cash Replenishment,Successful Transaction,,Pending,17
01-01-2023,ATM_6,Transaction,Dispensing Error,534.0621424,Pending,42
01-01-2023,ATM_6,Transaction,Dispensing Error,1027.530209,Completed,52
01-01-2023,ATM_6,Maintenance,Routine Maintenance,,Pending,43
01-01-2023,ATM_6,Cash Replenishment,Card Reader Error,,Failed,44
01-01-2023,ATM_6,Cash Replenishment,Dispensing Error,4776.585049,Pending,26
01-01-2023,ATM_7,Maintenance,Routine Maintenance,3302.741064,Completed,16
01-01-2023,ATM_8,Cash Replenishment,Successful Transaction,2367.613526,Failed,32
01-01-2023,ATM_8,Error,Successful Transaction,4952.907168,Completed,44
01-01-2023,ATM_8,Transaction,Successful Transaction,,Failed,29
01-01-2023,ATM_8,Cash Replenishment,Card Reader Error,4218.938947,Pending,23
01-01-2023,ATM_8,Maintenance,Card Reader Error,2558.493293,Pending,53
01-01-2023,ATM_9,Transaction,Successful Transaction,,Failed,10
01-01-2023,ATM_9,Maintenance,Cash Loaded,4165.110535,Pending,50
01-01-2023,ATM_9,Transaction,Successful Transaction,,Pending,14
01-01-2023,ATM_9,Maintenance,Routine Maintenance,926.4329307,Failed,37
01-01-2023,ATM_9,Transaction,Cash Loaded,306.9252117,Failed,42
01-01-2023,ATM_10,Maintenance,Dispensing Error,3329.877195,Pending,5
02-01-2023,ATM_1,Error,Routine Maintenance,494.4194545,Pending,57
02-01-2023,ATM_1,Maintenance,Card Reader Error,1223.668787,Failed,18
02-01-2023,ATM_1,Maintenance,Cash Loaded,447.5368784,Pending,7
02-01-2023,ATM_2,Transaction,Card Reader Error,3626.80619,Completed,49
02-01-2023,ATM_2,Error,Dispensing Error,,Pending,26
02-01-2023,ATM_3,Cash Replenishment,Card Reader Error,,Failed,28
02-01-2023,ATM_3,Error,Card Reader Error,,Completed,39
02-01-2023,ATM_3,Error,Dispensing Error,,Failed,20
02-01-2023,ATM_3,Transaction,Routine Maintenance,1555.367216,Pending,31
02-01-2023,ATM_3,Cash Replenishment,Successful Transaction,,Completed,27
02-01-2023,ATM_4,Transaction,Cash Loaded,353.8675872,Completed,15
02-01-2023,ATM_4,Maintenance,Dispensing Error,,Pending,27
02-01-2023,ATM_4,Error,Card Reader Error,,Pending,54
02-01-2023,ATM_4,Error,Cash Loaded,4471.127844,Completed,7
02-01-2023,ATM_4,Maintenance,Cash Loaded,2047.646316,Failed,52
02-01-2023,ATM_5,Error,Successful Transaction,3707.316198,Completed,54
02-01-2023,ATM_5,Error,Cash Loaded,1045.878956,Pending,53
02-01-2023,ATM_6,Error,Routine Maintenance,,Failed,24
02-01-2023,ATM_7,Transaction,Card Reader Error,,Completed,43
02-01-2023,ATM_8,Cash Replenishment,Routine Maintenance,,Completed,26
02-01-2023,ATM_8,Maintenance,Cash Loaded,4389.878022,Failed,47
02-01-2023,ATM_8,Transaction,Routine Maintenance,,Pending,12
02-01-2023,ATM_8,Cash Replenishment,Successful Transaction,4374.741049,Pending,9
02-01-2023,ATM_9,Transaction,Routine Maintenance,,Pending,21
02-01-2023,ATM_10,Maintenance,Routine Maintenance,,Pending,6
02-01-2023,ATM_10,Transaction,Successful Transaction,,Completed,48
02-01-2023,ATM_10,Maintenance,Routine Maintenance,758.0706916,Pending,50
03-01-2023,ATM_1,Transaction,Dispensing Error,,Pending,13
03-01-2023,ATM_2,Transaction,Routine Maintenance,,Failed,39
03-01-2023,ATM_2,Error,Successful Transaction,,Completed,17
03-01-2023,ATM_2,Maintenance,Routine Maintenance,,Completed,27
03-01-2023,ATM_2,Maintenance,Successful Transaction,4395.60458,Pending,54
03-01-2023,ATM_3,Cash Replenishment,Cash Loaded,1950.32424,Completed,40
03-01-2023,ATM_3,Maintenance,Dispensing Error,3932.263739,Pending,13
03-01-2023,ATM_3,Cash Replenishment,Cash Loaded,,Pending,15
03-01-2023,ATM_3,Error,Routine Maintenance,1526.977859,Pending,26
03-01-2023,ATM_4,Transaction,Successful Transaction,,Failed,56
03-01-2023,ATM_4,Error,Cash Loaded,4516.448839,Failed,50
03-01-2023,ATM_4,Error,Routine Maintenance,771.8576538,Failed,5
03-01-2023,ATM_4,Maintenance,Cash Loaded,2874.188458,Failed,46
03-01-2023,ATM_4,Transaction,Cash Loaded,,Pending,42
03-01-2023,ATM_5,Cash Replenishment,Card Reader Error,4150.691639,Failed,21
03-01-2023,ATM_6,Maintenance,Cash Loaded,,Pending,23
03-01-2023,ATM_6,Cash Replenishment,Dispensing Error,4078.57038,Pending,24
03-01-2023,ATM_6,Error,Card Reader Error,,Failed,49
03-01-2023,ATM_6,Transaction,Routine Maintenance,2196.013099,Failed,33
03-01-2023,ATM_7,Maintenance,Card Reader Error,1090.176972,Pending,22
03-01-2023,ATM_7,Cash Replenishment,Cash Loaded,4513.427635,Failed,36
03-01-2023,ATM_8,Transaction,Card Reader Error,,Pending,25
03-01-2023,ATM_8,Cash Replenishment,Card Reader Error,2575.606536,Pending,10
03-01-2023,ATM_9,Maintenance,Dispensing Error,4258.80662,Completed,21
03-01-2023,ATM_9,Error,Card Reader Error,,Completed,7
03-01-2023,ATM_9,Transaction,Routine Maintenance,,Failed,27
03-01-2023,ATM_9,Cash Replenishment,Dispensing Error,3738.027845,Failed,34
03-01-2023,ATM_9,Error,Dispensing Error,2710.716806,Failed,20
03-01-2023,ATM_10,Error,Routine Maintenance,1570.341038,Completed,14
03-01-2023,ATM_10,Cash Replenishment,Card Reader Error,2487.421725,Completed,18
03-01-2023,ATM_10,Error,Successful Transaction,,Completed,5
03-01-2023,ATM_10,Maintenance,Successful Transaction,,Pending,16
03-01-2023,ATM_10,Transaction,Routine Maintenance,4737.33323,Failed,59
04-01-2023,ATM_1,Transaction,Card Reader Error,,Failed,34
04-01-2023,ATM_1,Cash Replenishment,Successful Transaction,2580.450377,Completed,53
04-01-2023,ATM_2,Error,Dispensing Error,1166.684944,Pending,53
04-01-2023,ATM_2,Cash Replenishment,Successful Transaction,4960.096258,Pending,20
04-01-2023,ATM_2,Error,Successful Transaction,,Failed,6
04-01-2023,ATM_3,Maintenance,Cash Loaded,,Failed,19
04-01-2023,ATM_3,Maintenance,Routine Maintenance,,Failed,51
04-01-2023,ATM_3,Transaction,Routine Maintenance,,Failed,57
04-01-2023,ATM_3,Transaction,Successful Transaction,795.2572138,Completed,36
04-01-2023,ATM_4,Maintenance,Cash Loaded,,Completed,56
04-01-2023,ATM_4,Error,Dispensing Error,,Completed,6
04-01-2023,ATM_4,Error,Card Reader Error,2552.545876,Pending,44
04-01-2023,ATM_4,Transaction,Cash Loaded,3182.564904,Failed,35
04-01-2023,ATM_5,Error,Successful Transaction,,Completed,57
04-01-2023,ATM_5,Cash Replenishment,Card Reader Error,,Pending,52
04-01-2023,ATM_5,Cash Replenishment,Successful Transaction,3621.290262,Failed,17
04-01-2023,ATM_5,Error,Card Reader Error,,Failed,53
04-01-2023,ATM_5,Maintenance,Routine Maintenance,,Failed,6
04-01-2023,ATM_6,Transaction,Card Reader Error,4835.652223,Failed,23
04-01-2023,ATM_6,Transaction,Card Reader Error,,Pending,49
04-01-2023,ATM_6,Cash Replenishment,Card Reader Error,,Failed,21
04-01-2023,ATM_6,Error,Routine Maintenance,,Failed,14
04-01-2023,ATM_6,Maintenance,Card Reader Error,,Failed,34
04-01-2023,ATM_7,Maintenance,Routine Maintenance,851.2764017,Failed,34
04-01-2023,ATM_7,Error,Successful Transaction,,Completed,35
04-01-2023,ATM_7,Transaction,Routine Maintenance,4451.169676,Completed,8
04-01-2023,ATM_7,Maintenance,Successful Transaction,,Failed,26
04-01-2023,ATM_8,Error,Successful Transaction,,Failed,41
04-01-2023,ATM_9,Transaction,Routine Maintenance,,Pending,26
04-01-2023,ATM_9,Maintenance,Routine Maintenance,,Pending,12
04-01-2023,ATM_10,Error,Cash Loaded,2744.238581,Completed,42
04-01-2023,ATM_10,Error,Routine Maintenance,1804.597099,Pending,5
04-01-2023,ATM_10,Transaction,Successful Transaction,,Failed,8
05-01-2023,ATM_1,Cash Replenishment,Card Reader Error,1681.724815,Failed,18
05-01-2023,ATM_1,Error,Cash Loaded,,Pending,32
05-01-2023,ATM_1,Cash Replenishment,Successful Transaction,360.8455514,Pending,35
05-01-2023,ATM_1,Transaction,Cash Loaded,2369.227365,Pending,26
05-01-2023,ATM_1,Transaction,Dispensing Error,,Failed,32
05-01-2023,ATM_2,Cash Replenishment,Card Reader Error,,Pending,11
05-01-2023,ATM_2,Maintenance,Successful Transaction,4895.276695,Completed,54
05-01-2023,ATM_2,Transaction,Cash Loaded,,Completed,43
05-01-2023,ATM_2,Cash Replenishment,Successful Transaction,2859.332143,Failed,55
05-01-2023,ATM_2,Maintenance,Routine Maintenance,,Completed,6
05-01-2023,ATM_3,Transaction,Cash Loaded,4264.445675,Failed,19
05-01-2023,ATM_3,Cash Replenishment,Cash Loaded,,Pending,54
05-01-2023,ATM_3,Error,Routine Maintenance,,Failed,27
05-01-2023,ATM_3,Error,Dispensing Error,,Failed,26
